seed,method,metric,value
2025,vector_rag,evidence_coverage@5,0.2866666666666667
2025,vector_rag,all_evidence_hit@5,0.038
2025,vector_rag,first_two_evidence_hit@5,0.074
2025,vector_rag,evidence_hit_count,0.754
2025,vector_rag,evidence_total,2.444
2025,vector_rag,answer_accuracy,0.154
2025,vector_rag,faithfulness,1.0
2025,graph_rag,hit@5,0.524
2025,graph_rag,recall@5,0.24316666666666667
2025,graph_rag,precision@5,0.3336
2025,graph_rag,mrr,0.4179333333333333
2025,graph_rag,evidence_coverage@5,0.24316666666666667
2025,graph_rag,all_evidence_hit@5,0.038
2025,graph_rag,first_two_evidence_hit@5,0.078
2025,graph_rag,evidence_hit_count,0.636
2025,graph_rag,evidence_total,2.444
2025,graph_rag,answer_accuracy,0.14
2025,graph_rag,faithfulness,1.0
2025,ercs_graphrag,hit@5,0.604
2025,ercs_graphrag,recall@5,0.29683333333333334
2025,ercs_graphrag,precision@5,0.37560000000000004
2025,ercs_graphrag,mrr,0.46546666666666664
2025,ercs_graphrag,evidence_coverage@5,0.29683333333333334
2025,ercs_graphrag,all_evidence_hit@5,0.046
2025,ercs_graphrag,first_two_evidence_hit@5,0.082
2025,ercs_graphrag,evidence_hit_count,0.778
2025,ercs_graphrag,evidence_total,2.444
2025,ercs_graphrag,answer_accuracy,0.17
2025,ercs_graphrag,faithfulness,1.0
2025,ucp_ercs_graphrag,hit@5,0.614
2025,ucp_ercs_graphrag,recall@5,0.313
2025,ucp_ercs_graphrag,precision@5,0.36040000000000005
2025,ucp_ercs_graphrag,mrr,0.4638333333333333
2025,ucp_ercs_graphrag,evidence_coverage@5,0.313
2025,ucp_ercs_graphrag,all_evidence_hit@5,0.06
2025,ucp_ercs_graphrag,first_two_evidence_hit@5,0.098
2025,ucp_ercs_graphrag,evidence_hit_count,0.822
2025,ucp_ercs_graphrag,evidence_total,2.444
2025,ucp_ercs_graphrag,answer_accuracy,0.176
2025,ucp_ercs_graphrag,faithfulness,1.0
